캐릭터,파티,무기,성유물 이름
flins,flins(10) / ineffa(8) / sucrose(8) / fischl(7) / xilonen(6) / furina(5) / sara(5) / xingqiu(5) / gaming(4) / lanyan(4) / lauma(4) / ororon(4) / varesa(4) / yelan(4) / beidou(3) / bennett(3) / kazuha(3) / keqing(3) / kokomi(3) / kukishinobu(3) / mona(3) / amber(2) / candace(2) / cyno(2) / dori(2) / heizou(2) / jean(2) / lynette(2) / raiden(2) / razor(2) / sayu(2) / skirk(2) / venti(2) / wanderer(2) / xianyun(2) / yaemiko(2) / zhongli(2) / albedo(1) / alhaitham(1) / aloy(1) / arlecchino(1) / ayaka(1) / ayato(1) / baizhu(1) / barbara(1) / charlotte(1) / chasca(1) / chevreuse(1) / chiori(1) / chongyun(1) / citlali(1) / clorinde(1) / collei(1) / dahlia(1) / dehya(1) / diluc(1) / diona(1) / emilie(1) / escoffier(1) / eula(1) / faruzan(1) / freminet(1) / ganyu(1) / gorou(1) / hutao(1) / itto(1) / kaeya(1) / kaveh(1) / kinich(1) / kirara(1) / klee(1) / layla(1) / lisa(1) / lyney(1) / mavuika(1) / mika(1) / mizuki(1) / mualani(1) / nahida(1) / navia(1) / neuvillette(1) / nilou(1) / ningguang(1) / noelle(1) / qiqi(1) / rosaria(1) / sethos(1) / shenhe(1) / sigewinne(1) / thoma(1) / tighnari(1) / wriothesley(1) / xiangling(1) / xiao(1) / xinyan(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1),bloodsoakedruins(7) / deathmatch(5) / fracturedhalo(5) / staffofhoma(5) / balladofthefjords(4) / staffofthescarletsands(4) / missivewindspear(3) / wanderingevenstar(3) / elegyfortheend(2) / favoniuslance(2) / primordialjadewingedspear(2) / rust(2) / sacrificialfragments(2) / thrillingtalesofdragonslayers(2) / beaconofthereedsea(1) / engulfinglightning(1) / favoniuscodex(1) / favoniusgreatsword(1) / favoniussword(1) / favoniuswarbow(1) / fluteofezpitzal(1) / mouunsmoon(1) / peakpatrolsong(1) / prototypeamber(1) / sacrificialbow(1) / skywardspine(1) / thestringless(1) / vortexvanquisher(1),nightoftheskysunveiling(5) / gildeddreams(4) / marechausseehunter(3) / silkenmoonsserenade(3) / thunderingfury(3) / viridescentvenerer(3) / tenacityofthemillelith(2) / deepwoodmemories(1) / emblemofseveredfate(1) / gladiatorsfinale(1) / goldentroupe(1) / instructor(1) / noblesseoblige(1) / scrolloftheheroofcindercity(1) / shimenawasreminiscence(1) / wandererstroupe(1)
freminet,freminet(10) / fischl(8) / kazuha(8) / diona(7) / ganyu(7) / kokomi(7) / shenhe(7) / yaemiko(7) / bennett(6) / kukishinobu(6) / xingqiu(6) / yelan(6) / chongyun(5) / gaming(5) / kaeya(5) / lynette(5) / mika(5) / rosaria(5) / zhongli(5) / jean(4) / layla(4) / lyney(4) / nahida(4) / raiden(4) / sucrose(4) / venti(4) / ayaka(3) / furina(3) / heizou(3) / xianyun(3) / albedo(2) / aloy(2) / ayato(2) / baizhu(2) / beidou(2) / charlotte(2) / chiori(2) / citlali(2) / collei(2) / dori(2) / escoffier(2) / eula(2) / ineffa(2) / lisa(2) / mona(2) / sayu(2) / thoma(2) / xiangling(2) / amber(1) / arlecchino(1) / barbara(1) / chevreuse(1) / cyno(1) / dehya(1) / diluc(1) / faruzan(1) / gorou(1) / hutao(1) / itto(1) / keqing(1) / kirara(1) / lanyan(1) / lauma(1) / navia(1) / neuvillette(1) / nilou(1) / ororon(1) / qiqi(1) / sara(1) / tartaglia(1) / tighnari(1) / wanderer(1) / wriothesley(1) / xiao(1) / xilonen(1) / yaoyao(1) / yunjin(1),serpentspine(5) / beaconofthereedsea(4) / skywardpride(4) / songofbrokenpines(4) / prototypearchaic(3) / rust(3) / theunforged(3) / verdict(3) / athousandblazingsuns(2) / fangofthemountainking(2) / mailedflower(2) / redhornstonethresher(2) / snowtombedstarsilver(2) / wolfsgravestone(2) / aquasimulacra(1) / athousandfloatingdreams(1) / blackcliffslasher(1) / crescentpike(1) / elegyfortheend(1) / endoftheline(1) / engulfinglightning(1) / fadingtwilight(1) / favoniuscodex(1) / favoniusgreatsword(1) / favoniuslance(1) / favoniussword(1) / favoniuswarbow(1) / fruitfulhook(1) / harangeppakufutsu(1) / hunterspath(1) / jadefallssplendor(1) / kagotsurubeisshin(1) / kingssquire(1) / lostprayertothesacredwinds(1) / oathsworneye(1) / prototypeamber(1) / prototyperancour(1) / sacrificialgreatsword(1) / thecatch(1) / thunderingpulse(1) / wanderingevenstar(1),paleflame(5) / viridescentvenerer(5) / blizzardstrayer(3) / goldentroupe(3) / bloodstainedchivalry(1) / crimsonwitchofflames(1) / emblemofseveredfate(1) / marechausseehunter(1) / noblesseoblige(1) / oceanhuedclam(1) / shimenawasreminiscence(1) / songofdayspast(1)
furina,furina(10) / neuvillette(9) / baizhu(8) / hutao(8) / kazuha(8) / nahida(8) / yelan(8) / zhongli(8) / bennett(7) / nilou(7) / xiangling(7) / alhaitham(6) / gorou(6) / noelle(6) / raiden(6) / albedo(5) / amber(5) / clorinde(5) / emilie(5) / gaming(5) / itto(5) / jean(5) / xingqiu(5) / yaemiko(5) / ayaka(4) / kokomi(4) / kukishinobu(4) / shenhe(4) / sucrose(4) / xiao(4) / ayato(3) / barbara(3) / charlotte(3) / chasca(3) / citlali(3) / escoffier(3) / faruzan(3) / fischl(3) / ganyu(3) / ineffa(3) / klee(3) / lauma(3) / lisa(3) / mavuika(3) / mizuki(3) / mualani(3) / ororon(3) / sayu(3) / sigewinne(3) / skirk(3) / varesa(3) / venti(3) / xianyun(3) / xilonen(3) / yaoyao(3) / yoimiya(3) / chiori(2) / chongyun(2) / collei(2) / cyno(2) / dahlia(2) / diluc(2) / diona(2) / dori(2) / eula(2) / flins(2) / freminet(2) / heizou(2) / keqing(2) / kinich(2) / lanyan(2) / layla(2) / lynette(2) / lyney(2) / mika(2) / mona(2) / navia(2) / qiqi(2) / razor(2) / tighnari(2) / wanderer(2) / wriothesley(2) / yanfei(2) / yunjin(2) / aloy(1) / arlecchino(1) / beidou(1) / candace(1) / chevreuse(1) / dehya(1) / kaeya(1) / kaveh(1) / kirara(1) / ningguang(1) / rosaria(1) / sara(1) / sethos(1) / tartaglia(1) / thoma(1) / xinyan(1),splendoroftranquilwaters(6) / favoniussword(5) / keyofkhajnisut(5) / fleuvecendreferryman(4) / absolution(3) / favoniuswarbow(3) / festeringdesire(3) / freedomsworn(3) / harbingerofdawn(3) / ironsting(3) / lightoffoliarincision(3) / primordialjadecutter(3) / prototypeamber(3) / staffofhoma(3) / theblackspoon(3) / thecatch(3) / tomeoftheeternalflow(3) / aquasimulacra(2) / azurelight(2) / blacktassel(2) / cinnabarspindle(2) / deathmatch(2) / engulfinglightning(2) / jadefallssplendor(2) / lithicspear(2) / mistsplitterreforged(2) / redhornstonethresher(2) / sacrificialsword(2) / skywardblade(2) / solarpearl(2) / thestringless(2) / thewidsith(2) / urakumisugiri(2) / wanderingevenstar(2) / whiteblind(2) / aquilafavonia(1) / astralvulturescrimsonplumage(1) / athousandblazingsuns(1) / athousandfloatingdreams(1) / calamityqueller(1) / dragonsbane(1) / elegyfortheend(1) / favoniusgreatsword(1) / favoniuslance(1) / fracturedhalo(1) / harangeppakufutsu(1) / kagurasverity(1) / kitaincrossspear(1) / peakpatrolsong(1) / thedockhandsassistant(1) / theflute(1),goldentroupe(6) / tenacityofthemillelith(5) / deepwoodmemories(4) / marechausseehunter(4) / noblesseoblige(4) / viridescentvenerer(4) / flowerofparadiselost(3) / gildeddreams(3) / oceanhuedclam(3) / crimsonwitchofflames(2) / emblemofseveredfate(2) / fragmentofharmonicwhimsy(2) / huskofopulentdreams(2) / scrolloftheheroofcindercity(2) / theexile(2) / archaicpetra(1) / blizzardstrayer(1) / heartofdepth(1) / instructor(1) / obsidiancodex(1) / thunderingfury(1) / vourukashasglow(1)
gaming,gaming(10) / bennett(6) / kazuha(6) / xianyun(6) / furina(5) / ganyu(5) / layla(5) / xiangling(5) / chevreuse(4) / fischl(4) / kaeya(4) / sucrose(4) / xingqiu(4) / amber(3) / chongyun(3) / citlali(3) / diona(3) / jean(3) / kokomi(3) / kukishinobu(3) / lanyan(3) / lynette(3) / mavuika(3) / mika(3) / ororon(3) / rosaria(3) / sayu(3) / shenhe(3) / sigewinne(3) / thoma(3) / venti(3) / xilonen(3) / yanfei(3) / yelan(3) / zhongli(3) / albedo(2) / alhaitham(2) / aloy(2) / arlecchino(2) / ayaka(2) / ayato(2) / baizhu(2) / barbara(2) / beidou(2) / candace(2) / charlotte(2) / chasca(2) / chiori(2) / clorinde(2) / collei(2) / cyno(2) / dahlia(2) / dehya(2) / diluc(2) / dori(2) / emilie(2) / escoffier(2) / eula(2) / faruzan(2) / flins(2) / freminet(2) / gorou(2) / heizou(2) / hutao(2) / ineffa(2) / itto(2) / kaveh(2) / keqing(2) / kinich(2) / kirara(2) / klee(2) / lauma(2) / lisa(2) / lyney(2) / mizuki(2) / mona(2) / mualani(2) / nahida(2) / navia(2) / neuvillette(2) / nilou(2) / ningguang(2) / noelle(2) / qiqi(2) / raiden(2) / razor(2) / sara(2) / sethos(2) / skirk(2) / tighnari(2) / varesa(2) / wanderer(2) / wriothesley(2) / xiao(2) / xinyan(2) / yaemiko(2) / yaoyao(2) / yoimiya(2) / yunjin(2) / tartaglia(1),serpentspine(4) / aquilafavonia(3) / favoniussword(3) / redhornstonethresher(3) / splendoroftranquilwaters(3) / cranesechoingcall(2) / engulfinglightning(2) / fleuvecendreferryman(2) / freedomsworn(2) / hamayumi(2) / harbingerofdawn(2) / ironsting(2) / mailedflower(2) / oathsworneye(2) / primordialjadecutter(2) / thecatch(2) / athousandblazingsuns(1) / athousandfloatingdreams(1) / beaconofthereedsea(1) / dialoguesofthedesertsages(1) / fangofthemountainking(1) / favoniuscodex(1) / favoniuslance(1) / fracturedhalo(1) / fruitfulhook(1) / hunterspath(1) / lithicblade(1) / rainslasher(1) / rust(1) / skywardpride(1) / songofbrokenpines(1) / theunforged(1) / thrillingtalesofdragonslayers(1) / verdict(1) / wanderingevenstar(1),marechausseehunter(4) / noblesseoblige(4) / songofdayspast(4) / viridescentvenerer(4) / crimsonwitchofflames(3) / emblemofseveredfate(3) / goldentroupe(3) / tenacityofthemillelith(3) / gildeddreams(2) / scrolloftheheroofcindercity(2) / archaicpetra(1) / instructor(1) / vermillionhereafter(1)
ganyu,ganyu(10) / diona(7) / shenhe(7) / venti(7) / wanderer(7) / ayaka(6) / bennett(6) / kazuha(6) / kokomi(6) / mona(6) / xiangling(6) / zhongli(6) / kaeya(5) / nahida(5) / xingqiu(5) / barbara(4) / chongyun(4) / citlali(4) / escoffier(4) / fischl(4) / furina(4) / heizou(4) / hutao(4) / layla(4) / mavuika(4) / nilou(4) / rosaria(4) / skirk(4) / sucrose(4) / yelan(4) / albedo(3) / aloy(3) / amber(3) / arlecchino(3) / ayato(3) / beidou(3) / charlotte(3) / chasca(3) / chevreuse(3) / clorinde(3) / cyno(3) / dehya(3) / eula(3) / faruzan(3) / flins(3) / freminet(3) / gaming(3) / gorou(3) / ineffa(3) / itto(3) / jean(3) / kinich(3) / klee(3) / lauma(3) / mika(3) / navia(3) / neuvillette(3) / ningguang(3) / noelle(3) / qiqi(3) / raiden(3) / sayu(3) / thoma(3) / varesa(3) / wriothesley(3) / xianyun(3) / xiao(3) / xilonen(3) / xinyan(3) / yanfei(3) / alhaitham(2) / baizhu(2) / candace(2) / chiori(2) / collei(2) / dahlia(2) / diluc(2) / dori(2) / emilie(2) / kaveh(2) / keqing(2) / kirara(2) / kukishinobu(2) / lanyan(2) / lisa(2) / lynette(2) / lyney(2) / mizuki(2) / mualani(2) / ororon(2) / razor(2) / sara(2) / sethos(2) / sigewinne(2) / tighnari(2) / yaemiko(2) / yaoyao(2) / yoimiya(2) / yunjin(2),amosbow(7) / hunterspath(6) / prototypecrescent(5) / aquasimulacra(4) / polarstar(4) / skywardharp(4) / athousandfloatingdreams(3) / blacktassel(3) / calamityqueller(3) / freedomsworn(3) / hamayumi(3) / sacrificialbow(3) / thrillingtalesofdragonslayers(3) / amenomakageuchi(2) / astralvulturescrimsonplumage(2) / blackcliffwarbow(2) / elegyfortheend(2) / favoniuscodex(2) / favoniussword(2) / favoniuswarbow(2) / ironsting(2) / mistsplitterreforged(2) / rust(2) / sacrificialsword(2) / aquilafavonia(1) / cinnabarspindle(1) / engulfinglightning(1) / everlastingmoonglow(1) / favoniusgreatsword(1) / favoniuslance(1) / festeringdesire(1) / fruitoffulfillment(1) / harbingerofdawn(1) / ibispiercer(1) / keyofkhajnisut(1) / kingssquire(1) / makhairaaquamarine(1) / mouunsmoon(1) / primordialjadecutter(1) / prototypeamber(1) / ravenbow(1) / sacrificialgreatsword(1) / sapwoodblade(1) / skywardatlas(1) / skywardblade(1) / solarpearl(1) / staffofhoma(1) / staffofthescarletsands(1) / thecatch(1) / thestringless(1) / theviridescenthunt(1) / thunderingpulse(1) / vortexvanquisher(1) / wanderingevenstar(1) / wavebreakersfin(1) / xiphosmoonlight(1),blizzardstrayer(7) / wandererstroupe(6) / noblesseoblige(4) / emblemofseveredfate(3) / gladiatorsfinale(3) / shimenawasreminiscence(3) / tenacityofthemillelith(3) / viridescentvenerer(3) / gildeddreams(2) / archaicpetra(1) / deepwoodmemories(1) / huskofopulentdreams(1) / instructor(1) / lavawalker(1) / maidenbeloved(1) / marechausseehunter(1) / oceanhuedclam(1) / retracingbolide(1)
gorou,gorou(10) / itto(9) / albedo(8) / noelle(8) / zhongli(8) / ningguang(7) / chiori(5) / fischl(4) / furina(4) / gaming(4) / kaeya(4) / xilonen(4) / xinyan(4) / yunjin(4) / amber(3) / bennett(3) / jean(3) / kazuha(3) / kokomi(3) / navia(3) / raiden(3) / razor(3) / venti(3) / wanderer(3) / yelan(3) / alhaitham(2) / aloy(2) / arlecchino(2) / ayaka(2) / ayato(2) / baizhu(2) / barbara(2) / beidou(2) / candace(2) / charlotte(2) / chasca(2) / chevreuse(2) / chongyun(2) / citlali(2) / clorinde(2) / collei(2) / cyno(2) / dahlia(2) / dehya(2) / diluc(2) / diona(2) / dori(2) / emilie(2) / escoffier(2) / eula(2) / faruzan(2) / flins(2) / freminet(2) / ganyu(2) / heizou(2) / hutao(2) / ineffa(2) / kaveh(2) / keqing(2) / kinich(2) / kirara(2) / klee(2) / kukishinobu(2) / lanyan(2) / lauma(2) / layla(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / mika(2) / mizuki(2) / mona(2) / mualani(2) / nahida(2) / neuvillette(2) / nilou(2) / ororon(2) / qiqi(2) / rosaria(2) / sara(2) / sayu(2) / sethos(2) / shenhe(2) / sigewinne(2) / skirk(2) / sucrose(2) / thoma(2) / tighnari(2) / varesa(2) / wriothesley(2) / xiangling(2) / xianyun(2) / xiao(2) / xingqiu(2) / yaemiko(2) / yanfei(2) / yaoyao(2) / yoimiya(2),elegyfortheend(6) / favoniuswarbow(6) / sacrificialbow(6) / endoftheline(4) / blacktassel(1) / fadingtwilight(1) / favoniuslance(1) / favoniussword(1) / prototypeamber(1) / recurvebow(1) / redhornstonethresher(1) / sacrificialgreatsword(1) / thestringless(1) / urakumisugiri(1) / whiteblind(1),huskofopulentdreams(8) / noblesseoblige(7) / emblemofseveredfate(6) / theexile(5) / archaicpetra(2) / silkenmoonsserenade(2) / tenacityofthemillelith(2) / gladiatorsfinale(1) / goldentroupe(1) / instructor(1) / nightoftheskysunveiling(1) / scrolloftheheroofcindercity(1) / thunderingfury(1)
heizou,heizou(10) / fischl(8) / beidou(7) / bennett(7) / xiangling(7) / xingqiu(7) / faruzan(6) / kokomi(6) / yaemiko(6) / yelan(6) / ayaka(5) / collei(5) / gaming(5) / hutao(5) / kazuha(5) / kukishinobu(5) / sucrose(5) / wanderer(5) / zhongli(5) / albedo(4) / amber(4) / barbara(4) / diluc(4) / diona(4) / dori(4) / furina(4) / ganyu(4) / kaeya(4) / layla(4) / mona(4) / nahida(4) / raiden(4) / rosaria(4) / shenhe(4) / thoma(4) / tighnari(4) / venti(4) / xianyun(4) / xiao(4) / xinyan(4) / yanfei(4) / yaoyao(4) / yoimiya(4) / alhaitham(3) / aloy(3) / arlecchino(3) / ayato(3) / baizhu(3) / candace(3) / charlotte(3) / chasca(3) / chevreuse(3) / chiori(3) / chongyun(3) / clorinde(3) / cyno(3) / dehya(3) / emilie(3) / eula(3) / freminet(3) / gorou(3) / itto(3) / jean(3) / kaveh(3) / keqing(3) / kinich(3) / kirara(3) / klee(3) / lisa(3) / lynette(3) / lyney(3) / mika(3) / mizuki(3) / mualani(3) / navia(3) / neuvillette(3) / nilou(3) / ningguang(3) / noelle(3) / qiqi(3) / razor(3) / sara(3) / sayu(3) / sethos(3) / sigewinne(3) / wriothesley(3) / xilonen(3) / yunjin(3) / citlali(2) / dahlia(2) / escoffier(2) / flins(2) / ineffa(2) / lanyan(2) / lauma(2) / mavuika(2) / ororon(2) / skirk(2) / tartaglia(2) / varesa(2),mappamare(4) / skywardatlas(4) / sacrificialfragments(3) / solarpearl(3) / thewidsith(3) / thrillingtalesofdragonslayers(3) / engulfinglightning(2) / kagurasverity(2) / aquasimulacra(1) / aquilafavonia(1) / athousandfloatingdreams(1) / blacktassel(1) / elegyfortheend(1) / everlastingmoonglow(1) / favoniuscodex(1) / favoniussword(1) / favoniuswarbow(1) / hakushinring(1) / keyofkhajnisut(1) / lostprayertothesacredwinds(1) / magicguide(1) / prototypeamber(1) / sacrificialsword(1) / sapwoodblade(1) / serpentspine(1) / skywardblade(1) / skywardharp(1) / skywardpride(1) / splendoroftranquilwaters(1) / thecatch(1) / thestringless(1) / wanderingevenstar(1),viridescentvenerer(6) / noblesseoblige(4) / desertpavilionchronicle(3) / emblemofseveredfate(3) / lavawalker(2) / tenacityofthemillelith(2) / thundersoother(2) / gildeddreams(1) / gladiatorsfinale(1) / goldentroupe(1) / heartofdepth(1) / martialartist(1) / scrolloftheheroofcindercity(1) / shimenawasreminiscence(1) / theexile(1) / thunderingfury(1) / wandererstroupe(1)
hutao,hutao(9) / xingqiu(8) / zhongli(8) / yelan(7) / albedo(6) / bennett(6) / diona(6) / gaming(6) / kazuha(6) / thoma(6) / amber(5) / sucrose(5) / ayaka(4) / furina(4) / rosaria(4) / xiangling(4) / xilonen(4) / yoimiya(4) / baizhu(3) / barbara(3) / chiori(3) / chongyun(3) / faruzan(3) / fischl(3) / ganyu(3) / jean(3) / kaeya(3) / kaveh(3) / keqing(3) / layla(3) / mona(3) / noelle(3) / qiqi(3) / sara(3) / wanderer(3) / xianyun(3) / xiao(3) / alhaitham(2) / aloy(2) / arlecchino(2) / ayato(2) / beidou(2) / candace(2) / charlotte(2) / chasca(2) / chevreuse(2) / citlali(2) / clorinde(2) / collei(2) / cyno(2) / dahlia(2) / dehya(2) / diluc(2) / dori(2) / emilie(2) / escoffier(2) / eula(2) / flins(2) / freminet(2) / gorou(2) / heizou(2) / ineffa(2) / itto(2) / kinich(2) / kirara(2) / klee(2) / kokomi(2) / kukishinobu(2) / lanyan(2) / lauma(2) / lisa(2) / lynette(2) / lyney(2) / mavuika(2) / mika(2) / mizuki(2) / mualani(2) / nahida(2) / navia(2) / neuvillette(2) / nilou(2) / ningguang(2) / ororon(2) / raiden(2) / razor(2) / sayu(2) / sethos(2) / shenhe(2) / sigewinne(2) / skirk(2) / tighnari(2) / varesa(2) / venti(2) / wriothesley(2) / xinyan(2) / yaemiko(2) / yanfei(2) / yaoyao(2) / yunjin(2),staffofhoma(7) / deathmatch(6) / blacktassel(5) / favoniuslance(4) / freedomsworn(4) / sacrificialsword(4) / amenomakageuchi(3) / aquasimulacra(3) / dragonsbane(3) / elegyfortheend(3) / ironsting(3) / mistsplitterreforged(3) / primordialjadecutter(3) / rust(3) / staffofthescarletsands(3) / thestringless(3) / thunderingpulse(3) / blackcliffpole(2) / cinnabarspindle(2) / favoniussword(2) / favoniuswarbow(2) / harbingerofdawn(2) / lithicspear(2) / mappamare(2) / primordialjadewingedspear(2) / prototypeamber(2) / prototypestarglitter(2) / sacrificialfragments(2) / skywardblade(2) / skywardspine(2) / thecatch(2) / athousandfloatingdreams(1) / balladofthefjords(1) / keyofkhajnisut(1) / polarstar(1) / sacrificialbow(1) / whitetassel(1),crimsonwitchofflames(7) / tenacityofthemillelith(6) / viridescentvenerer(5) / emblemofseveredfate(4) / noblesseoblige(4) / blizzardstrayer(3) / heartofdepth(3) / shimenawasreminiscence(3) / archaicpetra(2) / gildeddreams(2) / instructor(2) / berserker(1) / deepwoodmemories(1) / gladiatorsfinale(1) / martialartist(1) / wandererstroupe(1)
ineffa,ineffa(10) / fischl(8) / furina(8) / xilonen(8) / nahida(7) / neuvillette(7) / ororon(7) / sucrose(7) / varesa(7) / xingqiu(7) / yelan(7) / alhaitham(6) / gaming(6) / beidou(5) / bennett(5) / chasca(5) / clorinde(5) / flins(5) / kazuha(5) / lauma(5) / arlecchino(4) / ayato(4) / barbara(4) / cyno(4) / dori(4) / heizou(4) / hutao(4) / keqing(4) / lyney(4) / mavuika(4) / navia(4) / raiden(4) / sara(4) / sethos(4) / tighnari(4) / venti(4) / wanderer(4) / xianyun(4) / yoimiya(4) / baizhu(3) / candace(3) / chevreuse(3) / collei(3) / dehya(3) / diluc(3) / faruzan(3) / itto(3) / jean(3) / kaveh(3) / kirara(3) / klee(3) / kokomi(3) / lanyan(3) / lisa(3) / lynette(3) / mizuki(3) / mona(3) / ningguang(3) / noelle(3) / razor(3) / sayu(3) / shenhe(3) / sigewinne(3) / thoma(3) / xiangling(3) / yaemiko(3) / yanfei(3) / yaoyao(3) / zhongli(3) / albedo(2) / aloy(2) / amber(2) / ayaka(2) / charlotte(2) / chiori(2) / chongyun(2) / citlali(2) / dahlia(2) / diona(2) / emilie(2) / escoffier(2) / eula(2) / freminet(2) / ganyu(2) / gorou(2) / kaeya(2) / kinich(2) / kukishinobu(2) / layla(2) / mika(2) / mualani(2) / nilou(2) / qiqi(2) / rosaria(2) / skirk(2) / wriothesley(2) / xiao(2) / xinyan(2) / yunjin(2) / tartaglia(1),fracturedhalo(5) / balladofthefjords(3) / bloodsoakedruins(3) / deathmatch(3) / missivewindspear(3) / rust(3) / staffofhoma(3) / staffofthescarletsands(3) / calamityqueller(2) / elegyfortheend(2) / favoniuslance(2) / kitaincrossspear(2) / wanderingevenstar(2) / absolution(1) / aquasimulacra(1) / aquilafavonia(1) / beaconofthereedsea(1) / cranesechoingcall(1) / crimsonmoonssemblance(1) / dialoguesofthedesertsages(1) / favoniuscodex(1) / favoniussword(1) / favoniuswarbow(1) / fluteofezpitzal(1) / lithicspear(1) / peakpatrolsong(1) / primordialjadewingedspear(1) / sacrificialfragments(1) / sacrificialsword(1) / skywardspine(1) / splendoroftranquilwaters(1) / theblackspoon(1) / thestringless(1) / thewidsith(1) / thunderingpulse(1) / tomeoftheeternalflow(1) / vividnotions(1) / vortexvanquisher(1),deepwoodmemories(5) / tenacityofthemillelith(4) / viridescentvenerer(4) / gildeddreams(3) / scrolloftheheroofcindercity(3) / silkenmoonsserenade(3) / thunderingfury(3) / emblemofseveredfate(2) / fragmentofharmonicwhimsy(2) / goldentroupe(2) / nightoftheskysunveiling(2) / noblesseoblige(2) / flowerofparadiselost(1) / instructor(1) / longnightsoath(1) / marechausseehunter(1) / shimenawasreminiscence(1) / wandererstroupe(1)
itto,itto(10) / albedo(8) / gorou(8) / noelle(7) / zhongli(7) / bennett(6) / chiori(6) / fischl(5) / ningguang(5) / furina(4) / navia(4) / xiangling(4) / beidou(3) / diona(3) / jean(3) / kukishinobu(3) / layla(3) / mona(3) / raiden(3) / xianyun(3) / xilonen(3) / aloy(2) / amber(2) / baizhu(2) / charlotte(2) / dehya(2) / escoffier(2) / gaming(2) / kaeya(2) / kinich(2) / kokomi(2) / mavuika(2) / rosaria(2) / venti(2) / wriothesley(2) / xingqiu(2) / xinyan(2) / yaemiko(2) / yelan(2) / alhaitham(1) / arlecchino(1) / ayaka(1) / ayato(1) / barbara(1) / candace(1) / chasca(1) / chevreuse(1) / chongyun(1) / citlali(1) / clorinde(1) / collei(1) / cyno(1) / dahlia(1) / diluc(1) / dori(1) / emilie(1) / eula(1) / faruzan(1) / flins(1) / freminet(1) / ganyu(1) / heizou(1) / hutao(1) / ineffa(1) / kaveh(1) / kazuha(1) / keqing(1) / kirara(1) / klee(1) / lanyan(1) / lauma(1) / lisa(1) / lynette(1) / lyney(1) / mika(1) / mizuki(1) / mualani(1) / nahida(1) / neuvillette(1) / nilou(1) / ororon(1) / qiqi(1) / razor(1) / sara(1) / sayu(1) / sethos(1) / shenhe(1) / sigewinne(1) / skirk(1) / sucrose(1) / thoma(1) / tighnari(1) / varesa(1) / wanderer(1) / xiao(1) / yanfei(1) / yaoyao(1) / yoimiya(1) / yunjin(1),redhornstonethresher(6) / favoniuswarbow(5) / serpentspine(5) / skywardpride(4) / whiteblind(4) / blacktassel(3) / cinnabarspindle(3) / thrillingtalesofdragonslayers(3) / verdict(3) / athousandblazingsuns(2) / beaconofthereedsea(2) / engulfinglightning(2) / favoniussword(2) / fleuvecendreferryman(2) / harbingerofdawn(2) / skywardblade(2) / skywardharp(2) / splendoroftranquilwaters(2) / staffofhoma(2) / thecatch(2) / thestringless(2) / urakumisugiri(2) / blackcliffslasher(1) / deathmatch(1) / everlastingmoonglow(1) / fangofthemountainking(1) / favoniuscodex(1) / favoniusgreatsword(1) / freedomsworn(1) / fruitfulhook(1) / prototypeamber(1) / staffofthescarletsands(1) / theunforged(1),huskofopulentdreams(6) / archaicpetra(4) / emblemofseveredfate(4) / noblesseoblige(4) / tenacityofthemillelith(4) / goldentroupe(2) / oceanhuedclam(2) / retracingbolide(2) / thunderingfury(2) / viridescentvenerer(2) / blizzardstrayer(1) / desertpavilionchronicle(1) / maidenbeloved(1) / marechausseehunter(1) / nighttimewhispersintheechoingwoods(1) / songofdayspast(1) / theexile(1)
